GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55115,County,Shawano,2020/10/12 19:00:00+00,1616,28,10770,44,7,0,72,46,1207,363,865,750,-999,36,134,244,246,208,335,232,133,39,9,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,173,-999,-999,1124,62,252,45,1163,408,-999,-999,-999,6,-999,-999,-999,6,-999,51,287,1278,282618
55117,County,Sheboygan,2020/10/12 19:00:00+00,2560,25,25760,-14,20,0,11,105,796,1659,999,1548,13,49,215,578,500,419,388,241,104,48,18,7,13,-999,-999,-999,-999,-999,-999,-999,-999,7,-999,-999,21,72,338,1684,121,324,281,1717,562,-999,-999,-999,18,-999,-999,6,13,-999,67,515,1978,282634
55119,County,Taylor,2020/10/12 19:00:00+00,290,8,3259,19,4,0,27,23,221,46,162,128,-999,6,38,33,41,46,46,36,30,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,279,-999,7,25,261,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,83,198,282667
55121,County,Trempealeau,2020/10/12 19:00:00+00,787,0,6919,-2,2,0,-2,24,375,388,382,405,-999,40,96,196,162,97,91,59,32,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,10,606,88,75,251,448,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,427,335,282680
55123,County,Vernon,2020/10/12 19:00:00+00,375,7,7487,46,1,0,53,14,153,208,195,179,-999,14,49,62,52,43,55,44,41,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,345,-999,22,7,330,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,84,279,282694
55125,County,Vilas,2020/10/12 19:00:00+00,343,5,4963,-1,2,1,4,22,182,139,151,192,-999,8,21,37,40,44,56,78,33,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,-999,-999,217,5,83,5,227,111,-999,-999,-999,-999,-999,-999,-999,-999,-999,11,110,222,282723
55127,County,Walworth,2020/10/12 19:00:00+00,2907,12,25252,-6,36,0,6,96,1074,1737,1402,1492,13,48,426,991,322,347,331,234,107,62,39,19,17,-999,-999,-999,-999,-999,-999,-999,7,7,9,12,14,13,49,2311,209,311,584,1941,382,-999,-999,-999,34,-999,-999,5,30,-999,119,1115,1673,282748
55129,County,Washburn,2020/10/12 19:00:00+00,154,4,3250,17,2,0,21,9,91,54,77,77,-999,6,29,6,15,14,32,28,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,150,-999,-999,5,146,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,131,18,282790
55131,County,Washington,2020/10/12 19:00:00+00,3296,12,26746,-1,37,0,11,161,1823,1312,1727,1568,-999,73,380,525,393,513,653,385,232,108,34,17,20,-999,-999,-999,-999,-999,-999,-999,5,8,14,8,11,30,35,3053,98,69,157,2827,312,-999,-999,-999,36,-999,-999,-999,35,-999,256,1859,1181,282816
55133,County,Waukesha,2020/10/12 19:00:00+00,9003,70,88855,332,98,1,402,496,4397,4110,4548,4447,8,239,1289,1713,1176,1233,1563,981,509,228,72,34,64,-999,-999,-999,-999,-999,-999,5,8,24,44,16,27,163,204,7346,356,907,662,6374,1967,-999,-999,5,82,-999,7,6,84,8,613,4802,3588,282883
55135,County,Waupaca,2020/10/12 19:00:00+00,1661,57,11144,-4,24,1,53,102,877,682,850,810,-999,28,114,259,211,259,314,249,134,63,30,10,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,11,7,-999,7,1344,102,197,63,1251,347,-999,-999,-999,22,-999,-999,-999,22,-999,80,632,949,283052
55137,County,Waushara,2020/10/12 19:00:00+00,623,27,7458,31,3,0,58,37,453,133,338,285,-999,19,53,81,79,93,116,99,59,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,544,35,35,83,490,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,213,384,283086
55139,County,Winnebago,2020/10/12 19:00:00+00,6297,124,44675,185,45,3,309,199,3351,2747,2994,3295,8,152,601,1631,986,860,970,639,281,127,50,23,22,-999,-999,-999,-999,-999,-999,-999,5,6,20,10,51,160,227,5154,271,434,361,5002,934,-999,-999,-999,43,-999,-999,-999,44,-999,288,2111,3898,283115
55141,County,Wood,2020/10/12 19:00:00+00,1132,18,16695,118,7,0,136,41,727,364,584,546,-999,35,113,220,160,139,184,156,87,31,7,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,19,5,1001,28,64,40,894,198,-999,-999,-999,7,-999,-999,-999,6,-999,105,807,220,283209
55033,County,Dunn,2020/10/13 19:00:00+00,793,6,9030,50,1,0,56,14,267,512,346,445,-999,9,195,380,52,55,54,31,12,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,10,634,34,79,21,658,114,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,496,269,283724
55035,County,Eau Claire,2020/10/13 19:00:00+00,2454,54,26333,143,9,1,197,80,2032,342,1263,1188,-999,72,414,1070,256,205,183,145,70,31,8,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,76,42,2132,93,103,88,2207,159,-999,-999,-999,8,-999,-999,-999,9,-999,220,2031,203,283749
55001,County,Adams,2020/10/11 19:00:00+00,305,8,4464,26,4,0,34,25,201,79,149,156,-999,8,23,46,29,31,40,81,38,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,274,11,11,19,252,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,164,129,285286
55003,County,Ashland,2020/10/11 19:00:00+00,194,6,3410,39,2,0,45,12,44,138,100,94,-999,-999,29,42,20,17,33,30,14,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39,-999,-999,123,-999,29,-999,136,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66,127,285300
55005,County,Barron,2020/10/11 19:00:00+00,618,20,9321,4,6,0,24,29,347,242,292,324,-999,18,79,100,91,86,108,85,36,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,428,108,47,158,401,59,-999,-999,-999,5,-999,-999,-999,5,-999,22,384,212,285314
