GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55135,County,Waupaca,2020/07/23 19:00:00+00,259,11,6380,190,14,0,201,31,147,81,133,126,-999,5,14,43,26,41,48,36,17,17,12,7,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,7,-999,-999,-999,218,22,14,23,212,24,-999,-999,-999,14,-999,-999,-999,14,-999,22,151,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172655
55137,County,Waushara,2020/07/23 19:00:00+00,58,1,4611,83,0,0,84,6,49,3,25,33,-999,-999,-999,7,8,7,7,9,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,-999,11,10,42,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172668
55139,County,Winnebago,2020/07/23 19:00:00+00,901,17,22767,136,16,1,153,55,711,135,435,465,-999,19,64,340,138,115,103,52,33,23,14,6,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,5,8,40,47,675,44,87,89,692,120,-999,-999,-999,15,-999,-999,-999,16,-999,92,704,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172676
55141,County,Wood,2020/07/23 19:00:00+00,152,12,7503,154,1,0,166,7,122,23,88,64,-999,-999,16,26,33,20,22,18,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,124,8,13,10,118,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,116,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172718
55005,County,Barron,2020/07/24 19:00:00+00,96,9,4794,71,2,0,80,5,70,21,48,48,-999,-999,7,25,17,11,15,11,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,73,-999,7,6,80,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,68,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172755
55007,County,Bayfield,2020/07/24 19:00:00+00,16,1,1675,24,1,0,25,4,9,3,7,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172766
55009,County,Brown,2020/07/24 19:00:00+00,3688,21,40364,639,49,0,660,249,2970,469,1836,1847,5,115,289,961,652,638,561,305,98,51,18,16,33,-999,-999,-999,-999,-999,-999,7,13,6,11,8,163,134,179,2111,806,295,1593,1879,216,-999,5,-999,36,-999,-999,12,37,-999,211,2296,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172789
55107,County,Rusk,2020/07/24 19:00:00+00,13,0,1114,20,1,0,20,2,7,4,8,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,5,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172813
55109,County,St. Croix,2020/07/24 19:00:00+00,375,19,9130,186,2,0,205,21,243,111,176,198,-999,14,32,97,66,54,57,26,17,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,6,296,14,52,46,268,61,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,193,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172819
55111,County,Sauk,2020/07/24 19:00:00+00,262,9,10443,174,3,0,183,19,158,85,140,122,-999,6,29,85,41,34,24,23,13,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,212,25,19,60,187,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,224,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172851
