OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE
43800,55049,County,Iowa,607,11,2,9,0,-999,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,11,-999,-999,-999,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,0,0,11,11,2020/05/23 14:00:00+00
43807,55051,County,Iron,194,2,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,4,4,2020/05/23 14:00:00+00
43811,55053,County,Jackson,841,15,4,9,2,6,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-999,-999,7,-999,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,0,0,48,48,2020/05/23 14:00:00+00
43817,55055,County,Jefferson,2034,78,17,57,4,38,40,-999,-999,-999,7,20,15,11,14,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,60,7,5,22,50,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,45,18,0,3,32,35,2020/05/23 14:00:00+00
43838,55057,County,Juneau,783,22,6,14,2,11,11,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,18,-999,-999,-999,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16,-999,0,0,20,20,2020/05/23 14:00:00+00
43846,55059,County,Kenosha,5347,983,115,522,346,456,526,-999,22,60,175,181,184,177,95,50,24,15,22,6,16,-999,-999,-999,-999,-999,-999,5,-999,-999,9,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,22,111,640,148,61,373,431,179,-999,-999,-999,21,-999,-999,8,13,-999,109,772,102,0,35,46,81,2020/05/23 14:00:00+00
43883,55061,County,Kewaunee,555,33,2,24,7,17,16,-999,-999,-999,8,5,5,9,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,25,6,-999,14,17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,6,0,1,38,39,2020/05/23 14:00:00+00
43888,55063,County,La Crosse,4012,48,5,37,6,23,25,-999,-999,-999,9,8,6,10,6,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,6,-999,38,-999,-999,-999,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,28,7,0,0,-38,-38,2020/05/23 14:00:00+00
43914,55065,County,Lafayette,426,18,6,9,3,7,11,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,13,-999,-999,7,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,-999,0,1,17,18,2020/05/23 14:00:00+00
43920,55067,County,Langlade,350,1,0,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,19,19,2020/05/23 14:00:00+00
43927,55069,County,Lincoln,441,3,0,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,17,17,2020/05/23 14:00:00+00
43938,55071,County,Manitowoc,1489,28,4,22,2,15,13,-999,-999,-999,6,-999,5,-999,5,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,21,-999,-999,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,-999,0,0,99,99,2020/05/23 14:00:00+00
43959,55073,County,Marathon,2045,38,8,27,3,19,19,-999,-999,5,5,5,-999,6,11,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,36,-999,-999,11,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31,-999,0,2,51,53,2020/05/23 14:00:00+00
43987,55075,County,Marinette,1633,31,5,24,2,9,22,-999,-999,-999,-999,-999,6,10,6,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,25,-999,-999,12,19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,5,0,1,66,67,2020/05/23 14:00:00+00
44001,55077,County,Marquette,397,3,1,2,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,13,13,2020/05/23 14:00:00+00
44007,55078,County,Menominee,641,2,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,20,20,2020/05/23 14:00:00+00
44010,55079,County,Milwaukee,32284,5987,1123,2467,2397,3086,2887,14,126,318,969,1088,1007,909,681,448,297,144,276,133,143,-999,-999,-999,-999,-999,9,18,50,86,63,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,312,2009,2311,678,650,1845,3496,646,-999,5,128,138,-999,-999,21,253,-999,624,2885,2478,6,252,772,1024,2020/05/23 14:00:00+00
44308,55081,County,Monroe,1734,16,7,8,1,7,9,-999,-999,-999,-999,-999,-999,7,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,15,-999,-999,-999,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,-999,0,0,59,59,2020/05/23 14:00:00+00
44318,55083,County,Oconto,1285,34,1,33,0,19,15,-999,-999,-999,5,8,5,9,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,32,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,21,5,0,2,46,48,2020/05/23 14:00:00+00
44330,55085,County,Oneida,665,7,3,4,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,5,-999,-999,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,0,0,63,63,2020/05/23 14:00:00+00
44345,55087,County,Outagamie,5241,181,34,137,10,84,97,-999,-999,12,26,33,49,23,15,13,7,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,-999,5,131,6,16,40,126,15,-999,-999,-999,5,-999,-999,-999,6,-999,13,147,21,1,7,109,116,2020/05/23 14:00:00+00
44386,55089,County,Ozaukee,1731,134,27,80,27,68,66,-999,-999,-999,22,17,19,32,15,8,11,7,11,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,6,-999,99,-999,22,5,96,33,-999,-999,-999,10,-999,-999,-999,11,-999,25,92,17,0,1,101,102,2020/05/23 14:00:00+00
44406,55091,County,Pepin,324,1,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,3,3,2020/05/23 14:00:00+00
44409,55093,County,Pierce,1001,36,0,28,8,20,16,-999,-999,5,5,12,-999,6,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,33,-999,-999,9,24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,20,9,0,2,29,31,2020/05/23 14:00:00+00
