GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55,State,WI,2020/08/18 19:00:00+00,66830,634,1075397,9357,1052,13,9991,5380,39011,22439,34424,32287,119,2290,6600,16682,11163,9521,9256,5974,3055,1624,665,488,564,0,0,0,8,12,32,73,168,277,284,198,656,1893,9134,42539,6220,6388,14917,43313,8600,11,30,214,760,20,17,122,908,22,5499,40056,21275,48,90,367,454,605,833,1073,1006,669,235,1479,3968,10025,6714,5794,5599,3294,1320,584,234,763,2542,6290,3995,3122,2824,1607,729,371,196,964,4,5,33,45,107,170,254,205,103,38,145417
55,State,WI,2020/08/16 19:00:00+00,65741,685,1060533,5414,1039,1,6099,5304,38267,22170,33862,31766,113,2230,6489,16454,10991,9359,9076,5875,3006,1603,658,483,556,0,0,0,8,10,32,72,168,274,279,196,644,1877,9035,41766,6126,6293,14756,42533,8452,11,30,212,750,19,17,121,897,21,5409,39254,21078,48,89,359,442,599,820,1062,989,663,233,1433,3892,9855,6616,5676,5481,3215,1296,575,228,749,2508,6240,3933,3084,2775,1598,721,365,197,957,4,5,32,45,107,168,252,203,103,38,146772
55,State,WI,2020/08/17 19:00:00+00,66196,455,1066040,5507,1039,0,5962,5327,38507,22362,34113,31969,114,2264,6536,16545,11062,9431,9145,5916,3027,1612,658,483,556,0,0,0,8,10,32,72,168,274,279,196,648,1888,9081,42070,6168,6341,14810,42844,8542,11,30,212,750,19,17,121,897,21,5442,39505,21249,48,89,360,448,603,823,1065,994,663,234,1450,3914,9918,6651,5716,5512,3235,1302,581,228,766,2533,6267,3963,3112,2810,1616,731,368,196,961,4,5,33,45,107,169,253,204,103,38,147452
55,State,WI,2020/07/11 19:00:00+00,35679,926,646504,11093,821,7,12019,3797,20661,11221,18278,17320,81,1206,2904,8869,6255,5289,4853,3136,1661,1023,483,385,436,0,0,0,9,8,25,60,140,211,203,165,333,1271,5984,20737,3839,3515,10058,21557,4064,10,23,192,573,11,12,96,713,12,3200,20437,12042,32,57,234,324,449,626,769,670,463,173,753,1767,5437,3783,3215,2916,1641,645,331,173,421,1080,3198,2148,1625,1311,726,346,229,137,797,3,3,27,38,92,140,217,163,83,31,150487
55,State,WI,2020/07/13 19:00:00+00,36942,494,659479,6127,820,0,6621,3850,21120,11972,18941,17915,86,1253,3061,9261,6456,5440,5005,3219,1712,1047,488,384,436,0,0,0,8,8,25,60,140,211,203,165,342,1299,6145,21542,3947,3667,10263,22357,4322,10,23,192,572,11,12,96,712,12,3260,20936,12746,32,59,244,331,451,630,776,681,470,176,777,1826,5554,3842,3284,2988,1676,661,339,173,444,1176,3463,2283,1705,1387,767,370,238,139,800,3,3,27,38,92,140,218,164,84,31,155874
55,State,WI,2020/07/14 19:00:00+00,37906,964,673195,13716,826,6,14680,3892,21660,12354,19433,18387,86,1297,3177,9571,6590,5550,5127,3289,1752,1065,488,386,440,0,0,0,8,9,25,61,143,211,204,165,355,1330,6244,22240,4005,3732,10403,23082,4421,10,23,195,576,10,12,96,718,12,3321,21586,12999,33,59,249,336,454,637,783,684,482,175,801,1900,5726,3918,3351,3051,1715,681,343,174,463,1218,3596,2336,1745,1439,791,387,240,139,804,3,3,27,38,92,140,221,165,85,30,156165
55,State,WI,2020/07/15 19:00:00+00,38727,821,686299,13104,827,1,13925,3923,22132,12672,19893,18747,87,1328,3276,9799,6730,5669,5224,3372,1769,1070,490,386,441,0,0,0,8,9,25,61,143,211,204,166,361,1347,6363,22795,4062,3799,10551,23675,4501,10,23,195,577,10,12,96,719,12,3384,22146,13197,34,66,255,339,457,636,790,689,482,175,817,1962,5844,3996,3418,3120,1762,693,346,174,477,1248,3700,2395,1794,1468,820,387,242,141,810,3,3,27,39,92,141,222,167,86,30,156225
55,State,WI,2020/07/16 19:00:00+00,39627,900,699670,13371,831,4,14271,3968,22647,13012,20350,19191,86,1363,3380,10038,6875,5795,5354,3441,1796,1089,496,387,444,0,0,0,8,9,26,61,143,212,206,166,380,1356,6486,23468,4128,3809,10721,24333,4573,10,23,195,580,10,13,96,723,12,3450,22726,13451,35,68,260,343,461,643,797,699,484,178,831,2020,5997,4089,3480,3206,1797,705,347,175,497,1292,3781,2443,1854,1505,847,392,258,143,811,3,4,27,39,93,141,222,167,85,30,156400
55,State,WI,2020/07/17 19:00:00+00,40507,880,712197,12527,833,2,13407,4031,23149,13327,20824,19597,86,1397,3483,10284,7018,5898,5469,3524,1825,1107,502,387,446,0,0,0,8,9,26,61,143,212,208,166,381,1374,6620,24027,4211,3894,10891,24992,4624,10,23,196,581,10,13,96,728,9,3512,23308,13687,35,68,264,344,470,656,816,708,491,179,848,2079,6142,4157,3547,3278,1847,716,357,178,514,1336,3878,2517,1881,1535,861,401,259,145,816,3,4,27,39,94,142,223,167,86,31,156575
55,State,WI,2020/07/18 19:00:00+00,41485,978,723643,11446,843,10,12424,4082,23718,13685,21363,20033,89,1431,3615,10573,7150,6029,5599,3597,1866,1120,505,393,450,0,0,0,8,9,28,62,144,214,208,170,397,1385,6721,24709,4273,4000,11014,25682,4789,10,23,196,589,11,14,97,736,10,3585,23938,13962,36,68,269,347,474,662,828,716,500,182,872,2161,6319,4239,3631,3346,1871,742,360,177,523,1386,3985,2564,1924,1591,898,408,260,146,823,3,4,27,40,94,143,227,166,88,31,156751
