OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE,PROP_0_9,PROP_10_19,PROP_20_29,PROP_30_39,PROP_40_49,PROP_50_59,PROP_60_69,PROP_70
79900,55035,County,Eau Claire,1476,22,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,22,22,2020/04/21 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
82372,55035,County,Eau Claire,1534,23,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,58,59,2020/04/22 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
82850,55035,County,Eau Claire,1586,23,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,52,52,2020/04/23 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
11343,55035,County,Eau Claire,1641,23,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,55,55,2020/04/24 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
13334,55035,County,Eau Claire,1680,24,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,39,40,2020/04/25 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
14293,55035,County,Eau Claire,1739,25,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,59,60,2020/04/26 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
15650,55035,County,Eau Claire,1759,25,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,20,2020/04/27 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
17243,55035,County,Eau Claire,1777,27,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,18,20,2020/04/28 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
18718,55035,County,Eau Claire,1795,27,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18,18,2020/04/29 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
21069,55035,County,Eau Claire,1897,28,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,102,103,2020/04/30 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
21668,55035,County,Eau Claire,1966,28,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,69,2020/05/01 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
23143,55035,County,Eau Claire,2007,34,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,41,47,2020/05/02 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
24877,55035,County,Eau Claire,2072,36,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,65,67,2020/05/03 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
26093,55035,County,Eau Claire,2130,41,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,58,63,2020/05/04 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
27346,55035,County,Eau Claire,2156,42,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,26,27,2020/05/05 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
29043,55035,County,Eau Claire,2253,45,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,97,100,2020/05/06 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
30518,55035,County,Eau Claire,2307,47,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,54,56,2020/05/07 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
53420,55035,County,Eau Claire,2410,50,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,103,106,2020/05/08 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
54259,55035,County,Eau Claire,2472,54,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,62,66,2020/05/09 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
55734,55035,County,Eau Claire,2543,54,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71,71,2020/05/10 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
57364,55035,County,Eau Claire,2601,57,3,43,11,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,58,61,2020/05/11 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
